Fz,Cz,Pz,C3,T3,C4,T4,Fp1,Fp2,F3,F4,F7,F8,P3,P4,T5,T6,O1,O2,Class
85,191,236,226,420,494,494,494,310,531,52,-57,163,89,273,420,85,578,402,c
402,121,236,226,163,200,126,163,310,420,89,126,126,126,163,200,226,121,50,c
332,85,163,191,126,16,52,-20,236,310,163,200,163,89,126,52,332,85,85,c
473,437,384,437,347,126,200,163,457,568,310,384,273,236,273,236,332,226,156,c
332,156,200,121,200,-94,163,16,420,457,89,89,163,-20,89,52,121,85,121,c
332,156,273,85,236,16,200,126,531,457,236,200,236,126,310,200,226,332,367,c
332,297,310,121,273,163,310,273,531,494,163,89,273,89,273,163,15,332,297,c
156,121,126,-90,200,16,273,126,494,384,89,-20,200,16,273,126,50,261,297,c
367,332,273,156,384,200,384,310,678,604,273,200,310,200,420,310,191,367,402,c
473,402,200,121,236,52,273,126,531,420,126,52,163,-57,200,89,156,121,226,c
649,508,273,226,236,89,236,126,494,347,273,273,200,126,347,200,367,226,367,c
789,649,384,402,310,236,347,236,531,494,236,310,236,200,310,273,226,226,261,c
578,402,163,85,126,-20,163,16,347,347,163,163,163,16,200,126,85,50,156,c
649,508,273,156,236,126,126,200,384,494,384,384,273,273,384,347,121,156,191,c
578,402,126,-19,52,16,16,126,236,384,200,236,163,126,163,200,-125,-125,-55,c
508,332,52,-90,-57,-57,-131,89,200,347,273,310,163,236,236,273,-19,-160,-19,c
578,543,163,121,-20,52,-94,236,273,494,273,420,163,310,236,384,-55,-160,-125,c
367,332,-20,-55,-241,-131,-315,-20,52,236,52,273,16,89,16,163,-90,-336,-266,c
508,473,126,156,-94,-20,-241,89,126,347,273,494,126,310,236,347,85,-160,-125,c
508,473,89,85,-131,-94,-204,-20,89,273,126,310,16,163,89,163,-125,-231,-266,c
402,332,-20,-125,-167,-241,-241,-167,163,200,163,236,16,126,126,163,-55,-195,-195,c
508,402,126,15,-20,-20,-131,16,347,457,236,236,89,200,236,347,-55,-19,-125,c
332,191,-20,-125,-131,-167,-167,-167,200,310,16,52,-20,-20,89,89,-90,-160,-231,c
437,367,163,121,52,52,-20,-20,200,273,273,347,89,200,236,163,226,85,15,c
543,473,236,261,163,163,126,16,126,163,163,310,52,89,89,52,156,50,-55,c
437,332,89,156,89,52,89,-94,89,16,126,310,16,52,126,16,261,15,85,c
578,508,273,402,310,273,236,126,273,310,273,494,89,273,236,236,367,156,226,c
437,297,126,226,163,89,200,16,236,273,52,273,-57,52,-20,52,191,-90,121,c
437,332,163,226,163,89,89,126,273,384,200,384,-57,200,163,236,332,15,261,c
473,473,200,261,126,200,52,236,236,420,126,347,-57,163,126,236,156,-55,85,c
